,PART_ID,TYPE,MANUFACTURER,YEAR,QUANTITY,PRICE,SUBTOTAL_INVENTORY,ACTIVE
0,PART0001,transmission,Audi,2016,24.0,145.77,3498.4800000000005,
1,PART0002,transmission,Honda,2004,43.0,62.79,2699.97,
2,PART0003,battery,Volkswagen,2007,72.0,290.88,20943.36,
3,PART0004,suspension,Toyota,2020,52.0,121.08,6296.16,0.0
4,PART0005,battery,Ford,2009,10.0,450.54,4505.400000000001,1.0
5,PART0006,battery,Toyota,2018,80.0,276.71,22136.8,0.0
6,PART0007,brake,Honda,2009,49.0,303.71,14881.789999999999,0.0
7,PART0008,battery,Toyota,2014,57.0,257.49,14676.93,1.0
8,PART0009,battery,BMW,2007,95.0,205.3,19503.5,1.0
9,PART0010,engine,Audi,2011,70.0,73.58,5150.599999999999,0.0
10,PART0011,transmission,BMW,2006,45.0,452.49,20362.05,1.0
11,PART0012,brake,BMW,2005,68.0,178.04,12106.72,0.0
12,PART0013,battery,Honda,2013,11.0,315.03,3465.33,
13,PART0014,brake,Volkswagen,2012,65.0,462.61,30069.65,
14,PART0015,transmission,Volkswagen,2009,19.0,53.48,1016.1199999999999,0.0
15,PART0016,battery,Audi,2002,72.0,183.57,13217.039999999999,0.0
16,PART0017,suspension,Audi,2003,51.0,400.8,20440.8,1.0
17,PART0018,tire,Volkswagen,2019,5.0,468.05,2340.25,1.0
18,PART0019,suspension,Ford,2001,67.0,194.4,13024.800000000001,1.0
19,PART0020,suspension,BMW,2014,68.0,142.65,9700.2,0.0
20,PART0021,battery,Volkswagen,2018,68.0,109.76,7463.68,
21,PART0022,transmission,Ford,2009,18.0,129.07,2323.2599999999998,1.0
22,PART0023,tire,Honda,2009,20.0,375.56,7511.2,0.0
23,PART0024,brake,Volkswagen,2012,81.0,265.75,21525.75,
24,PART0025,tire,Volkswagen,2021,54.0,237.26,12812.039999999999,0.0
25,PART0026,tire,Volkswagen,2005,7.0,162.78,1139.46,
26,PART0027,engine,BMW,2015,41.0,467.68,19174.88,1.0
27,PART0028,transmission,Toyota,2001,54.0,244.86,13222.44,0.0
28,PART0029,engine,Mercedes,2021,40.0,163.85,6554.0,
